id,date,store_nbr,family,onpromotion,sales
0,2017-01-01,1,GROCERY I,0,331.909
1,2017-01-02,1,GROCERY I,0,361.414
2,2017-01-03,1,GROCERY I,10,629.537
3,2017-01-04,1,GROCERY I,0,332.03
4,2017-01-05,1,GROCERY I,0,198.149
5,2017-01-06,1,GROCERY I,4,238.9
6,2017-01-07,1,GROCERY I,0,315.809
7,2017-01-08,1,GROCERY I,0,227.084
8,2017-01-09,1,GROCERY I,0,500.422
9,2017-01-10,1,GROCERY I,0,296.041
10,2017-01-11,1,GROCERY I,0,290.033
11,2017-01-12,1,GROCERY I,0,271.286
12,2017-01-13,1,GROCERY I,0,292.089
13,2017-01-14,1,GROCERY I,0,315.959
14,2017-01-15,1,GROCERY I,0,294.243
15,2017-01-16,1,GROCERY I,0,312.728
16,2017-01-17,1,GROCERY I,0,425.443
17,2017-01-18,1,GROCERY I,0,320.536
18,2017-01-19,1,GROCERY I,0,232.589
19,2017-01-20,1,GROCERY I,0,280.951
20,2017-01-21,1,GROCERY I,0,243.965
21,2017-01-22,1,GROCERY I,0,193.409
22,2017-01-23,1,GROCERY I,3,345.906
23,2017-01-24,1,GROCERY I,0,317.019
24,2017-01-25,1,GROCERY I,0,317.387
25,2017-01-26,1,GROCERY I,0,312.907
26,2017-01-27,1,GROCERY I,0,286.27
27,2017-01-28,1,GROCERY I,0,387.733
28,2017-01-29,1,GROCERY I,0,259.858
29,2017-01-30,1,GROCERY I,0,258.727
30,2017-01-31,1,GROCERY I,0,323.649
31,2017-02-01,1,GROCERY I,0,324.955
32,2017-02-02,1,GROCERY I,0,323.988
33,2017-02-03,1,GROCERY I,0,251.646
34,2017-02-04,1,GROCERY I,0,278.061
35,2017-02-05,1,GROCERY I,0,293.987
36,2017-02-06,1,GROCERY I,0,334.939
37,2017-02-07,1,GROCERY I,0,416.437
38,2017-02-08,1,GROCERY I,0,326.665
39,2017-02-09,1,GROCERY I,0,223.75
40,2017-02-10,1,GROCERY I,0,294.521
41,2017-02-11,1,GROCERY I,0,217.503
42,2017-02-12,1,GROCERY I,0,397.73
43,2017-02-13,1,GROCERY I,0,338.527
44,2017-02-14,1,GROCERY I,0,303.359
45,2017-02-15,1,GROCERY I,0,281.84
46,2017-02-16,1,GROCERY I,0,318.92
47,2017-02-17,1,GROCERY I,0,188.155
48,2017-02-18,1,GROCERY I,0,338.122
49,2017-02-19,1,GROCERY I,0,265.385
50,2017-02-20,1,GROCERY I,0,350.877
51,2017-02-21,1,GROCERY I,0,360.708
52,2017-02-22,1,GROCERY I,11,445.195
53,2017-02-23,1,GROCERY I,0,238.289
54,2017-02-24,1,GROCERY I,0,270.495
55,2017-02-25,1,GROCERY I,0,349.051
56,2017-02-26,1,GROCERY I,0,312.366
57,2017-02-27,1,GROCERY I,0,458.035
58,2017-02-28,1,GROCERY I,0,485.373
59,2017-03-01,1,GROCERY I,0,198.187
60,2017-03-02,1,GROCERY I,0,256.14
61,2017-03-03,1,GROCERY I,0,244.905
62,2017-03-04,1,GROCERY I,0,219.993
63,2017-03-05,1,GROCERY I,10,588.731
64,2017-03-06,1,GROCERY I,0,468.371
65,2017-03-07,1,GROCERY I,0,308.124
66,2017-03-08,1,GROCERY I,0,224.078
67,2017-03-09,1,GROCERY I,0,256.824
68,2017-03-10,1,GROCERY I,0,349.666
69,2017-03-11,1,GROCERY I,2,346.586
70,2017-03-12,1,GROCERY I,4,405.587
71,2017-03-13,1,GROCERY I,0,305.361
72,2017-03-14,1,GROCERY I,0,278.324
73,2017-03-15,1,GROCERY I,0,349.76
74,2017-03-16,1,GROCERY I,0,300.499
75,2017-03-17,1,GROCERY I,0,163.221
76,2017-03-18,1,GROCERY I,0,236.396
77,2017-03-19,1,GROCERY I,0,345.923
78,2017-03-20,1,GROCERY I,0,346.921
79,2017-03-21,1,GROCERY I,0,351.078
80,2017-03-22,1,GROCERY I,0,342.417
81,2017-03-23,1,GROCERY I,0,250.845
82,2017-03-24,1,GROCERY I,0,239.46
83,2017-03-25,1,GROCERY I,0,309.931
84,2017-03-26,1,GROCERY I,5,385.98
85,2017-03-27,1,GROCERY I,0,309.68
86,2017-03-28,1,GROCERY I,11,530.429
87,2017-03-29,1,GROCERY I,11,378.843
88,2017-03-30,1,GROCERY I,11,499.569
89,2017-03-31,1,GROCERY I,0,287.456
90,2017-04-01,1,GROCERY I,7,506.509
91,2017-04-02,1,GROCERY I,0,252.615
92,2017-04-03,1,GROCERY I,0,363.698
93,2017-04-04,1,GROCERY I,5,520.086
94,2017-04-05,1,GROCERY I,0,294.591
95,2017-04-06,1,GROCERY I,0,207.939
96,2017-04-07,1,GROCERY I,0,215.454
97,2017-04-08,1,GROCERY I,0,329.326
98,2017-04-09,1,GROCERY I,0,252.056
99,2017-04-10,1,GROCERY I,0,340.578
100,2017-04-11,1,GROCERY I,0,267.657
101,2017-04-12,1,GROCERY I,0,309.204
102,2017-04-13,1,GROCERY I,4,382.363
103,2017-04-14,1,GROCERY I,2,449.233
