date,store_nbr,transactions
2017-01-01,1,1350
2017-01-02,1,1065
2017-01-03,1,928
2017-01-04,1,936
2017-01-05,1,1053
2017-01-06,1,1096
2017-01-07,1,1080
2017-01-08,1,1112
2017-01-09,1,993
2017-01-10,1,1049
2017-01-11,1,940
2017-01-12,1,970
2017-01-13,1,1011
2017-01-14,1,1144
2017-01-15,1,1314
2017-01-16,1,974
2017-01-17,1,925
2017-01-18,1,970
2017-01-19,1,969
2017-01-20,1,989
2017-01-21,1,1104
2017-01-22,1,1145
2017-01-23,1,1020
2017-01-24,1,986
2017-01-25,1,994
2017-01-26,1,982
2017-01-27,1,980
2017-01-28,1,1098
2017-01-29,1,1139
2017-01-30,1,976
2017-01-31,1,1240
2017-02-01,1,1042
2017-02-02,1,995
2017-02-03,1,949
2017-02-04,1,1082
2017-02-05,1,1174
2017-02-06,1,990
2017-02-07,1,999
2017-02-08,1,910
2017-02-09,1,1017
2017-02-10,1,998
2017-02-11,1,1082
2017-02-12,1,1108
2017-02-13,1,990
2017-02-14,1,982
2017-02-15,1,1144
2017-02-16,1,975
2017-02-17,1,969
2017-02-18,1,1133
2017-02-19,1,1185
2017-02-20,1,877
2017-02-21,1,970
2017-02-22,1,987
2017-02-23,1,991
2017-02-24,1,965
2017-02-25,1,1056
2017-02-26,1,1140
2017-02-27,1,1294
2017-02-28,1,1095
2017-03-01,1,1014
2017-03-02,1,966
2017-03-03,1,977
2017-03-04,1,1084
2017-03-05,1,1113
2017-03-06,1,1032
2017-03-07,1,1003
2017-03-08,1,1049
2017-03-09,1,1027
2017-03-10,1,997
2017-03-11,1,1196
2017-03-12,1,1144
2017-03-13,1,1013
2017-03-14,1,968
2017-03-15,1,1159
2017-03-16,1,952
2017-03-17,1,1019
2017-03-18,1,1079
2017-03-19,1,1158
2017-03-20,1,972
2017-03-21,1,1026
2017-03-22,1,1010
2017-03-23,1,1052
2017-03-24,1,1009
2017-03-25,1,1064
2017-03-26,1,1124
2017-03-27,1,933
2017-03-28,1,959
2017-03-29,1,1040
2017-03-30,1,1005
2017-03-31,1,1128
2017-04-01,1,1086
2017-04-02,1,1128
2017-04-03,1,931
2017-04-04,1,953
2017-04-05,1,992
2017-04-06,1,1026
2017-04-07,1,1004
2017-04-08,1,1035
2017-04-09,1,1139
2017-04-10,1,982
2017-04-11,1,996
2017-04-12,1,1044
2017-04-13,1,897
2017-04-14,1,1201
2017-04-15,1,1353
2017-04-16,1,1063
2017-04-17,1,1039
2017-04-18,1,994
2017-04-19,1,1013
2017-04-20,1,957
2017-04-21,1,1012
2017-04-22,1,1169
2017-04-23,1,1136
2017-04-24,1,989
